squareMeters,numberOfRooms,hasYard,hasPool,floors,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,garage,hasStorageRoom,price
75523,,0,1,63,8,2005,0,1,4313,956,0,"$7,559,081.50"
80771,8,1,1,98,6,2015,1,0,3653,128,1,"$8,085,989.50"
55712,10,0,1,19,8,2021,0,0,2937,135,1,"$5,574,642.10"
32316,2,0,0,6,4,2012,0,1,659,359,0,"$3,232,561.20"
70429,2,1,1,90,7,1990,1,0,8435,292,1,"$7,055,052.00"
39223,3,0,1,17,6,2012,0,1,2009,757,0,"$3,926,647.20"
58682,2,1,1,99,9,1995,1,1,5930,848,0,"$5,876,376.50"
86929,3,1,0,11,4,2003,1,0,6326,654,0,"$8,696,869.30"
51522,8,0,0,61,3,2012,1,1,632,807,1,"$5,154,055.20"
39686,2,0,0,15,8,2021,1,1,5198,591,1,"$3,970,892.10"
23563,3,0,1,90,8,1993,1,0,703,684,1,"$2,366,397.30"
96470,1,1,0,21,2,2011,1,1,5414,716,1,"$9,652,258.10"
19127,4,1,0,5,9,2008,0,0,5387,374,0,"$1,914,688.80"
13087,4,1,0,77,4,2004,1,0,1745,582,0,"$1,320,803.40"
79770,1,0,1,69,5,2018,0,1,8871,240,0,"$7,986,665.80"
75985,3,1,0,67,9,2009,1,1,4878,384,1,"$7,607,322.90"
64169,3,0,1,6,9,2011,1,1,3054,726,0,"$6,420,823.10"
39223,3,0,1,17,6,2012,0,1,2009,757,0,"$3,926,647.20"
99371,6,1,1,16,8,2013,1,1,3258,354,1,"$9,944,705.30"
25966,4,1,1,17,1,2016,0,0,8257,162,0,"$2,604,486.60"
41792,4,1,1,10,5,2017,1,1,2950,572,1,"$4,187,667.70"
28795,5,1,1,50,4,2009,1,1,9862,330,1,"$2,888,047.90"
92383,4,0,0,78,7,2000,0,0,7507,892,1,"$9,244,344.00"
33279,9,1,0,65,2,2019,1,1,2427,732,0,"$3,333,351.90"
34782,4,0,0,73,4,2020,0,1,9586,822,0,"$3,482,594.00"
13386,8,0,0,90,6,1993,0,0,2885,904,1,"$1,342,509.30"
20883,8,0,0,54,9,2018,0,0,9982,670,1,"$2,091,505.80"
95121,9,0,1,3,9,1994,0,0,615,328,0,"$9,515,440.40"
6071,9,1,0,14,6,2003,1,1,3306,295,0,"$612,471.30"
11844,8,0,0,55,5,1993,1,0,5292,395,0,"$1,189,939.30"
52078,7,1,1,73,4,2016,1,1,1864,558,0,"$5,217,708.60"
25897,10,1,0,92,4,1993,0,1,9799,116,1,"$2,598,763.30"
85443,1,1,1,54,1,2021,1,0,3056,292,1,"$8,555,234.10"
11412,5,0,0,79,5,2009,1,1,6899,695,0,"$1,145,642.90"
97550,2,1,1,98,5,2014,1,0,5391,388,0,"$9,765,099.40"
76485,4,1,0,9,9,2008,1,0,2860,982,0,"$7,653,300.80"
26169,8,0,0,62,7,1993,0,1,7918,919,1,"$2,622,399.30"
24239,5,1,0,91,7,1998,0,0,6656,698,0,"$2,427,801.80"
